Camera,User,Purpose,Check-Out,Return
Quality 12,827.0,Rack Shipment Record,11/10/21 20:30:34,11/11/21 20:28:16
Quality 1,827.0,Quality Investigation,11/11/21 22:48:43,11/12/21 13:40:46
Quality 6,827.0,Quality Investigation,11/12/21 12:44:08,11/12/21 12:49:19
Quality 14,2741.0,Rack Shipment Record,11/12/21 14:08:29,11/15/21 12:41:14
Quality 13,4092.0,Rack Shipment Record,11/12/21 14:11:35,11/12/21 20:32:34
Quality 13,3233.0,Rack Shipment Record,11/12/21 20:55:17,11/13/21 04:09:14
Quality 2,4091.0,Rack Shipment Record,11/13/21 04:22:52,11/16/21 04:36:28
Quality 14,4091.0,Rack Shipment Record,11/16/21 04:27:22,11/18/21 13:08:41
Quality 2,2741.0,Rack Shipment Record,11/16/21 12:13:19,11/17/21 13:03:27
Quality 12,4092.0,Rack Shipment Record,11/17/21 14:10:26,11/19/21 12:48:30
Quality 13,3233.0,Rack Shipment Record,11/18/21 04:32:17,11/18/21 12:26:18
Quality 2,2741.0,Rack Shipment Record,11/18/21 12:53:48,11/20/21 12:44:47
Quality 13,3233.0,Rack Shipment Record,11/19/21 04:49:02,11/22/21 13:12:16
Quality 14,4091.0,Rack Shipment Record,11/19/21 04:56:23,11/19/21 12:11:51
Quality 14,2194.0,Rack Shipment Record,11/19/21 22:39:54,11/20/21 17:53:39
Quality 12,1780.0,Rack Shipment Record,11/22/21 13:06:13,11/26/21 12:39:57
Quality 2,2741.0,Rack Shipment Record,11/22/21 13:16:42,11/23/21 13:16:20
Quality 14,3204.0,Rack Shipment Record,11/22/21 18:33:34,11/23/21 12:53:38
Quality 13,4650.0,Rack Shipment Record,11/23/21 12:15:07,11/24/21 04:41:02
Quality 2,2741.0,Rack Shipment Record,11/23/21 20:28:41,11/24/21 12:45:46
Quality 14,2194.0,Rack Shipment Record,11/23/21 20:38:38,11/24/21 12:54:57
Quality 13,4092.0,Rack Shipment Record,11/24/21 12:03:01,11/26/21 12:35:04
,,,11/24/21 12:18:20,
Quality 2,2741.0,Rack Shipment Record,11/24/21 17:22:44,11/29/21 12:04:48
Quality 14,2194.0,Rack Shipment Record,11/26/21 13:05:30,11/26/21 23:06:05
,,,11/27/21 04:05:00,
Quality 14,2194.0,Rack Shipment Record,11/29/21 12:43:32,11/30/21 12:47:51
Quality 13,1780.0,Rack Shipment Record,11/29/21 12:52:41,11/30/21 04:38:00
Quality 12,1780.0,Rack Shipment Record,11/29/21 13:00:08,11/30/21 12:30:03
Quality 2,2741.0,Rack Shipment Record,11/30/21 12:02:59,12/01/21 12:28:01
Quality 14,3204.0,Rack Shipment Record,11/30/21 23:04:11,12/01/21 12:44:53
Quality 13,3233.0,Rack Shipment Record,12/01/21 04:37:27,12/01/21 16:19:33
Quality 13,1780.0,Rack Shipment Record,12/01/21 16:20:06,12/02/21 13:14:05
Quality 2,2741.0,Rack Shipment Record,12/01/21 20:22:15,12/02/21 12:28:43
Quality 12,3233.0,Rack Shipment Record,12/02/21 04:38:33,12/02/21 21:25:01
Quality 14,2194.0,Rack Shipment Record,12/02/21 12:56:21,12/03/21 12:42:08
Quality 13,1780.0,Rack Shipment Record,12/02/21 13:17:55,12/04/21 04:51:21
Quality 2,2741.0,Rack Shipment Record,12/02/21 20:15:29,12/03/21 12:15:51
Quality 12,3233.0,Rack Shipment Record,12/03/21 04:30:23,12/03/21 16:52:39
Quality 2,2741.0,Rack Shipment Record,12/03/21 20:31:29,12/06/21 12:57:54
Quality 14,2194.0,Rack Shipment Record,12/06/21 13:02:46,12/07/21 02:34:55
Quality 13,1780.0,Rack Shipment Record,12/06/21 16:12:59,12/07/21 04:28:21
Quality 2,2741.0,Rack Shipment Record,12/07/21 12:32:03,12/07/21 22:59:53
Quality 14,2194.0,Rack Shipment Record,12/07/21 12:43:52,12/09/21 12:29:53
Quality 12,1780.0,Rack Shipment Record,12/07/21 12:59:51,12/08/21 04:44:02
Quality 2,2741.0,Rack Shipment Record,12/08/21 12:59:55,12/09/21 13:21:08
Quality 13,4092.0,Rack Shipment Record,12/08/21 13:51:07,12/09/21 12:00:14
Quality 12,3233.0,Rack Shipment Record,12/09/21 04:27:46,12/10/21 16:26:45
Quality 14,3204.0,Rack Shipment Record,12/10/21 01:45:33,12/10/21 04:21:23
Quality 13,4650.0,Rack Shipment Record,12/10/21 12:04:42,12/14/21 04:20:15
Quality 2,2741.0,Rack Shipment Record,12/10/21 12:12:34,12/13/21 12:11:57
Quality 14,2194.0,Rack Shipment Record,12/10/21 12:41:38,12/11/21 03:22:04
Quality 12,1780.0,Rack Shipment Record,12/10/21 16:28:22,12/13/21 13:23:54
Quality 14,2194.0,Rack Shipment Record,12/13/21 12:25:28,12/14/21 04:38:56
Quality 13,4092.0,Rack Shipment Record,12/14/21 12:03:40,12/15/21 12:12:37
Quality 14,2194.0,Rack Shipment Record,12/14/21 12:12:11,12/15/21 04:09:47
Quality 2,2741.0,Rack Shipment Record,12/14/21 20:37:14,12/15/21 20:48:38
Quality 14,2194.0,Rack Shipment Record,12/15/21 14:04:02,12/16/21 04:33:19
Quality 13,4092.0,Rack Shipment Record,12/16/21 11:56:28,12/17/21 04:48:47
Quality 2,2537.0,Rack Shipment Record,12/16/21 12:45:33,12/17/21 12:50:40
Quality 14,2537.0,Rack Shipment Record,12/16/21 20:28:31,12/17/21 12:10:15
Quality 13,4092.0,Rack Shipment Record,12/17/21 12:03:19,12/18/21 03:57:11
Quality 2,2194.0,Rack Shipment Record,12/17/21 20:40:08,12/20/21 13:53:35
Quality 13,4650.0,Rack Shipment Record,12/20/21 12:11:08,12/21/21 14:40:09
Quality 14,2194.0,Rack Shipment Record,12/20/21 12:59:55,12/21/21 12:10:48
Quality 12,3233.0,Rack Shipment Record,12/21/21 04:24:57,12/22/21 17:29:51
Quality 2,2741.0,Rack Shipment Record,12/21/21 13:18:54,12/22/21 12:56:24
Quality 14,2194.0,Rack Shipment Record,12/21/21 21:53:05,12/22/21 13:14:21
Quality 13,4091.0,Rack Shipment Record,12/22/21 04:18:42,12/22/21 12:10:38
Quality 2,2537.0,Rack Shipment Record,12/22/21 20:39:08,12/23/21 13:20:15
Quality 13,4092.0,Rack Shipment Record,12/23/21 12:24:21,12/27/21 14:35:04
Quality 2,2741.0,Rack Shipment Record,12/23/21 20:37:32,12/28/21 19:45:02
,,,12/27/21 12:59:32,
Quality 13,3233.0,Rack Shipment Record,12/28/21 04:29:30,12/28/21 13:28:01
,,,12/28/21 13:34:17,
Quality 13,3233.0,Rack Shipment Record,12/29/21 04:45:18,12/29/21 12:48:09
Quality 12,4091.0,Rack Shipment Record,12/29/21 22:38:26,01/05/22 13:48:20
Quality 13,3233.0,Rack Shipment Record,12/30/21 04:35:34,12/30/21 11:59:29
Quality 13,1780.0,Rack Shipment Record,01/03/22 12:30:22,01/05/22 12:05:11
Quality 2,2537.0,Rack Shipment Record,01/03/22 13:09:09,01/04/22 12:28:38
Quality 14,3204.0,Rack Shipment Record,01/04/22 19:31:01,01/05/22 04:51:48
,,,01/05/22 12:45:12,
Quality 2,2537.0,Rack Shipment Record,01/05/22 13:34:21,01/07/22 12:37:03
Quality 14,2194.0,Rack Shipment Record,01/06/22 12:11:07,01/07/22 12:43:21
,,,01/06/22 13:36:11,
Quality 13,4092.0,Rack Shipment Record,01/07/22 11:58:53,01/08/22 15:14:33
Quality 12,4092.0,Rack Shipment Record,01/07/22 14:01:15,01/08/22 17:08:12
Quality 2,2741.0,Rack Shipment Record,01/07/22 20:47:45,01/10/22 12:28:25
